"geographicAreaM49","measuredItemParentCPC_tree","measuredItemChildCPC_tree","timePointYears","Value","flagObservationStatus","flagMethod","measuredElementSuaFbs"
"348","0111","23110","2000",0.976478728010899,"I","c","5431"
"348","0111","23110","2001",0.973862947025627,"I","c","5431"
"348","0111","23110","2002",0.988829058795447,"I","c","5431"
"348","0111","23110","2003",0.982912798155251,"I","c","5431"
"348","0111","23110","2004",0.974235289027189,"I","c","5431"
"348","0111","23110","2005",0.968662382186663,"I","c","5431"
"348","0111","23110","2006",0.950963975998152,"I","c","5431"
"348","0111","23110","2007",0.944898516431723,"I","c","5431"
"348","0111","23110","2008",0.968659736202248,"I","c","5431"
"348","0111","23110","2009",0.980056138907543,"I","c","5431"
"348","0111","23110","2010",0.824258121079905,"I","c","5431"
"348","0111","23110","2011",0.840541399420277,"I","c","5431"
"348","0111","23110","2012",0.830972798475415,"I","c","5431"
"348","0111","23110","2013",0.823767291970673,"I","c","5431"
"348","0111","23110","2014",0.857423226470448,"I","c","5431"
"348","0111","23110","2015",0.835954061329658,"I","c","5431"
"348","0111","23110","2016",0.784135472794613,"I","c","5431"
"348","0111","23110","2017",0.79557495189316,"I","c","5431"
"348","0111","23110","2018",0.805221495339144,"I","c","5431"
"348","0111","23110","2019",0.794977306675639,"I","c","5431"
"348","0111","23140.03","2000",0,"I","c","5431"
"348","0111","23140.03","2001",0,"I","c","5431"
"348","0111","23140.03","2002",0,"I","c","5431"
"348","0111","23140.03","2003",0,"I","c","5431"
"348","0111","23140.03","2004",0,"I","c","5431"
"348","0111","23140.03","2005",0,"I","c","5431"
"348","0111","23140.03","2006",0,"I","c","5431"
"348","0111","23140.03","2007",0,"I","c","5431"
"348","0111","23140.03","2008",0,"I","c","5431"
"348","0111","23140.03","2009",0,"I","c","5431"
"348","0111","23140.03","2010",0,"I","c","5431"
"348","0111","23140.03","2011",0,"I","c","5431"
"348","0111","23140.03","2012",0,"I","c","5431"
"348","0111","23140.03","2013",0,"I","c","5431"
"348","0111","23140.03","2014",0,"I","c","5431"
"348","0111","23140.03","2015",0,"I","c","5431"
"348","0111","23140.03","2016",0,"I","c","5431"
"348","0111","23140.03","2017",0,"I","c","5431"
"348","0111","23140.03","2018",0,"I","c","5431"
"348","0111","23140.03","2019",0,"I","c","5431"
"348","0111","23140.08","2000",0,"I","c","5431"
"348","0111","23140.08","2001",0,"I","c","5431"
"348","0111","23140.08","2002",0,"I","c","5431"
"348","0111","23140.08","2003",0,"I","c","5431"
"348","0111","23140.08","2004",0,"I","c","5431"
"348","0111","23140.08","2005",0,"I","c","5431"
"348","0111","23140.08","2006",0,"I","c","5431"
"348","0111","23140.08","2007",0,"I","c","5431"
"348","0111","23140.08","2008",0,"I","c","5431"
"348","0111","23140.08","2009",0,"I","c","5431"
"348","0111","23140.08","2010",0.00107890831265963,"I","c","5431"
"348","0111","23140.08","2011",0.00134386516700109,"I","c","5431"
"348","0111","23140.08","2012",0.0013521922264271,"I","c","5431"
"348","0111","23140.08","2013",0.00124759024014488,"I","c","5431"
"348","0111","23140.08","2014",0.001044024421827,"I","c","5431"
"348","0111","23140.08","2015",0.00127359790404807,"I","c","5431"
"348","0111","23140.08","2016",0.00131841250353941,"I","c","5431"
"348","0111","23140.08","2017",0.00113991630409032,"I","c","5431"
"348","0111","23140.08","2018",0.00124397557055927,"I","c","5431"
"348","0111","23140.08","2019",0.00123410145939633,"I","c","5431"
"348","0111","24110","2000",0.00498468486113136,"I","c","5431"
"348","0111","24110","2001",0.00415377597257022,"I","c","5431"
"348","0111","24110","2002",0.00133674946163812,"I","c","5431"
"348","0111","24110","2003",0.00347225677198343,"I","c","5431"
"348","0111","24110","2004",0.00359783303615587,"I","c","5431"
"348","0111","24110","2005",0.00797699509465928,"I","c","5431"
"348","0111","24110","2006",0.00658074234342869,"I","c","5431"
"348","0111","24110","2007",0.00903471429599008,"I","c","5431"
"348","0111","24110","2008",0.00406389493848367,"I","c","5431"
"348","0111","24110","2009",0.0018307867153767,"I","c","5431"
"348","0111","24110","2010",0.0773035190966435,"I","c","5431"
"348","0111","24110","2011",0.0792656252766018,"I","c","5431"
"348","0111","24110","2012",0.0830235256798421,"I","c","5431"
"348","0111","24110","2013",0.0885559649943331,"I","c","5431"
"348","0111","24110","2014",0.0626633149451424,"I","c","5431"
"348","0111","24110","2015",0.0798647374182789,"I","c","5431"
"348","0111","24110","2016",0.116098220169773,"I","c","5431"
"348","0111","24110","2017",0.120446600550059,"I","c","5431"
"348","0111","24110","2018",0.105469852712704,"I","c","5431"
"348","0111","24110","2019",0.114004891144178,"I","c","5431"
"348","0111","2413","2000",0.00141161863972385,"I","c","5431"
"348","0111","2413","2001",0.00138025083676483,"I","c","5431"
"348","0111","2413","2002",0.000825708568790842,"I","c","5431"
"348","0111","2413","2003",0.0011458702516485,"I","c","5431"
"348","0111","2413","2004",0.00163295247755768,"I","c","5431"
"348","0111","2413","2005",0.00385800429808056,"I","c","5431"
"348","0111","2413","2006",0.00442768268916395,"I","c","5431"
"348","0111","2413","2007",0.00474549475422419,"I","c","5431"
"348","0111","2413","2008",0.00221167231301237,"I","c","5431"
"348","0111","2413","2009",0.0015272933432915,"I","c","5431"
"348","0111","2413","2010",0.0101908697934737,"I","c","5431"
"348","0111","2413","2011",0.00946574202347577,"I","c","5431"
"348","0111","2413","2012",0.00977083798980229,"I","c","5431"
"348","0111","2413","2013",0.0100405881610645,"I","c","5431"
"348","0111","2413","2014",0.00905276554845476,"I","c","5431"
"348","0111","2413","2015",0.00946805220800438,"I","c","5431"
"348","0111","2413","2016",0.0115095600531277,"I","c","5431"
"348","0111","2413","2017",0.0117253438412971,"I","c","5431"
"348","0111","2413","2018",0.0109009853674764,"I","c","5431"
"348","0111","2413","2019",0.0113786297539671,"I","c","5431"
"348","0111","24320","2000",0.017124968488246,"I","c","5431"
"348","0111","24320","2001",0.0206030261650381,"I","c","5431"
"348","0111","24320","2002",0.00900848317412446,"I","c","5431"
"348","0111","24320","2003",0.0124690748211174,"I","c","5431"
"348","0111","24320","2004",0.0205339254590974,"I","c","5431"
"348","0111","24320","2005",0.0195026184205972,"I","c","5431"
"348","0111","24320","2006",0.0380275989692551,"I","c","5431"
"348","0111","24320","2007",0.0413212745180628,"I","c","5431"
"348","0111","24320","2008",0.0250646965462564,"I","c","5431"
"348","0111","24320","2009",0.0165857810337887,"I","c","5431"
"348","0111","24320","2010",0.0871685817173181,"I","c","5431"
"348","0111","24320","2011",0.069383368112644,"I","c","5431"
"348","0111","24320","2012",0.0748806456285136,"I","c","5431"
"348","0111","24320","2013",0.0763885646337843,"I","c","5431"
"348","0111","24320","2014",0.0698166686141275,"I","c","5431"
"348","0111","24320","2015",0.0734395511400104,"I","c","5431"
"348","0111","24320","2016",0.0869383344789476,"I","c","5431"
"348","0111","24320","2017",0.0711131874113937,"I","c","5431"
"348","0111","24320","2018",0.0771636910101172,"I","c","5431"
"348","0111","24320","2019",0.0784050709668195,"I","c","5431"
"348","0112","23120.03","2000",0.816906003350029,"I","c","5431"
"348","0112","23120.03","2001",0.893996167542392,"I","c","5431"
"348","0112","23120.03","2002",0.846254037130974,"I","c","5431"
"348","0112","23120.03","2003",0.828546959685435,"I","c","5431"
"348","0112","23120.03","2004",0.949349602326712,"I","c","5431"
"348","0112","23120.03","2005",0.913367124102069,"I","c","5431"
"348","0112","23120.03","2006",1,"I","c","5431"
"348","0112","23120.03","2007",0.996955309022462,"I","c","5431"
