             itemName,P,I,X,DSt,Fo,FP,Fe,Se,T,IU,L,ROU,Imb2
                Wheat,"126,208,400","2,971,249",957,"1,120,565",,"90,384,615","29,181,617","4,277,567",,"2,985,279","2,713,000",  - ,"-1,483,951"
 Wheat and meslin flo,"70,500,000","33,055","188,674",," **68,372,646**","1,958,146",,," **-17,621**",,,  - ,0
 Mixes and doughs for ,,"6,497","38,072",,0,,0,,0,,,  - ,"-31,575"
 Other Fructose and S,"158,665","3,659","162,324",,0,,,,0,,,  - ,0
      Starch of Wheat," **314,020**","11,035","40,311",,,"158,664","**120,537**",,," **5,543**",,  - ,0
         Wheat Gluten,"116,496",877,"117,373",,,0,0,,,,,  - ,0
 Communion wafers,"13,263","8,796","5,822",,"16,241",,,,-4,,,  - ,0
  Uncooked pasta ,"1,415,692","12,520","22,550",,"  **1,406,024**",,,,  **-363**,,,  - ,0
 Food Preparations of,,"69,686","21,977",,"47,709",,,,-12,,,  - ,12
        Bran of Wheat,"21,414,279","156,359","2,200",," **16,689,929**",," **4,882,810**",," **-4,301**",,,  - ,0
 Gluten Feed and Meal,"793,740","160,230","529,333",,,," **424,637**",,,,,  - ,0
                bread,"15,485","2,897","4,210",,"14,175",,,,-3,,,  - ,0
               pastry,"193,950","89,593","117,630",,"    **165,957**",,,,   **-42.75**,,,  - ,0
