             itemName,Fo,DES
                Wheat,              -,                 -
 Wheat and meslin flo,"68,372,646",478.38
 Mixes and doughs for,0,0
 Other Fructose and S,0,0
      Starch of Wheat,              -,                 -
         Wheat Gluten,              -,                 -
" Communion wafers, em","16,239.38",0.1405
"  Uncooked pasta, not","1,406,024",10.1699
 Food Preparations of,"47,708.53",0.3545
        Bran of Wheat,"16,689,929",70.0635
 Gluten Feed and Meal,              -,                 -
                bread,"14,174.09",0.0696
               pastry,"165,957",1.2069
