             itemName,P,I,X,DSt,Fo,FP,Fe,Se,T,IU,L,ROU
                Wheat,"126,208,400","3,184,654","781,808","1,120,565","89,711,591",0,"29,387,664","4,277,567","-22,766.50","2,994,755","2,713,000",-
Imb2,"-1,571,130",,,,,,,,,,,
TS,"127,490,681",,,,,,,,,,,
$TS \times 0.05$,"6,374,534",,,,,,,,,,,
$|Imb2| < TS \times 0.05$,TRUE,,,,,,,,,,,
$p_{ME}$,0.001,0.01,0.01,0.25,0.05,0.01,0.25,0.25,0.25,0.25,0.25,-
$V_{el} \times p_{ME}$,"126,208","31,847","7,818","280,141","4,485,580",0,"7,346,916","1,069,392","-5,692","748,689","678,250",
$\sum \limits_{el \in E} (V_{el} \times p_{ME})$,"14,769,149",,,,,,,,,,,
p_{adj_{el}},0.01,0,0,0.02,0.3,0,0.5,0.07,0,0.05,0.05,
adj_{el \in E},"13,426","3,388",-832,"-29,801","-477,172",0,"-781,559","-113,761",605,"-79,645","-72,152",
$Value^*_{el \in E}$,"126,221,826","3,188,042","780,976","1,090,764","89,234,419",0,"28,606,105","4,163,806","-22,161","2,915,110","2,640,848",
Imb2,0,,,,,,,,,,,
             itemName,P,I,X,DSt,Fo,FP,Fe,Se,T,IU,L,ROU
 Mixes and doughs for,,"6,496.91","38,071.88",0,0,0,0,0,0,0,0,-
Imb2,"-31,575",,,,,,,,,,,
TS,"-31,575",,,,,,,,,,,
$TS \times 0.05$,"-1,579",,,,,,,,,,,
$|Imb2| < TS \times 0.05$,FALSE,,,,,,,,,,,
$p_{ME}$,0.001,0.01,0.01,0.25,0.05,0.01,0.25,0.25,0.25,0.25,0.25,-
$V_{el} \times p_{ME}$,0,65,381,0,0,0,0,0,0,0,0,
$\sum \limits_{el \in E} (V_{el} \times p_{ME})$,446,,,,,,,,,,,
p_{adj_{el}},0,0.15,0.85,0,0,0,0,0,0,0,0,
adj_{el \in E},0,"4,603","-26,972",0,0,0,0,0,0,0,0,
$Value^*_{el \in E}$,0,"11,100","11,100",0,0,0,0,0,0,0,0,
Imb2,0,,,,,,,,,,,
             itemName,P,I,X,DSt,Fo,FP,Fe,Se,T,IU,L,ROU
 Food Preparations of,,"69,685.96","21,977.43",0,"47,708.53",0,0,0,-12.2958,0,0,-
Imb2,12,,,,,,,,,,,
TS,"47,709",,,,,,,,,,,
$TS \times 0.05$,"2,385",,,,,,,,,,,
$|Imb2| < TS \times 0.05$,TRUE,,,,,,,,,,,
$Value^*_{el \in E}$,,"69,685.96","21,977.43",0,"47,708.53",0,0,0,-12.2958,0,0,12
Imb2,0,,,,,,,,,,,
