             itemName,P,I,X,DSt,Fo,FP,Fe,Se,T,IU,L,ROU
         Maize (corn),"215,646,300","2,598,461","20,006","-37,733",,  - ,"143,788,614","2,297,543",,"35,454,712","9,700,000",  - 
         Oil of Maize,"267,800",471,"4,152",,"264,120",  - ,,,-68,,,  - 
 Margarine and Shorte,,"16,118",497,,"15,621",  - ,,,-4,,,  - 
        Cake of Maize,"382,152",,,,,  - ,"378,585",,,,,  - 
       Flour of Maize,"10,200,000","1,100",15,,"7,550,000",  - ,,,"-2,062","631,163",,  - 
        Germ of Maize,"874,914",9,28,,,  - ,"195,795",,,,,  - 
 Glucose and Dextrose,"964,387","2,331","476,826",,"15,799",  - ,,,-4,,,  - 
      Starch of Maize,"1,114,576","1,688","56,444",,"9,585",  - ,,,-2,,,  - 
 Beer of Barley malte,"49,219,000","337,793","258,211",,"49,298,581",  - ,,,"-12,706",,,  - 
        Bran of Maize,"1,312,372",70,"76,710",,,  - ,"588,957",,,,,  - 
         Maize Gluten,"159,225",,,,,  - ,"159,225",,,,,  - 
 Gluten Feed and Meal,"793,740","160,231","529,333",,,  - ,,,,,,  - 
