            ParentName,            ChildName,eR,  share,  weight
          Maize (corn),        Germ of Maize,0.06,1,0
          Maize (corn),       Flour of Maize,0.8,1,1
          Maize (corn),        Bran of Maize,0.09,1,0
        Flour of Maize,         Maize Gluten,0.1,1,0
        Flour of Maize,      Starch of Maize,0.7,1,1
          Wheat Gluten, Gluten Feed and Meal,1,0.33,0
         Bran of Maize, Gluten Feed and Meal,1,0.67,0
          Maize (corn), Beer of Barley malted,6.65,0.98,1
         Germ of Maize,         Oil of Maize,0.45,1,1
         Germ of Maize,        Cake of Maize,0.5,1,0
       Starch of Maize, Glucose and Dextrose,1,1,1
          Oil of Maize, Margarine and Shorte,1.19,0.01,1
