geographicAreaM49,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,8857198967,7889052491,8016421162,6015126606,4676087149,7011072593,6641567623,6300127045,6014180989,5722291837,5407370305,5100465342,8415634218,9108107156,9321437853,10244402684,11182908162,14229290461,13285507812,15573930383,16077921038,17473629021,19383466476,20638726902,21271156433,20890161271,21633660718,22174502236
8,6036855091,4346406405,4034025275,4419654394,4786612456,5424300831,5918006639,5276621617,5742512964,6482763763,6933075239,7508055387,7848663455,8282587008,8739355191,9222333225,9766689176,10351054136,11127392488,11500636224,11926948284,12230541057,12403876215,12528161452,12750472056,13033373416,13470272844,13987715011
12,92018155325,90913936924,92550389880,90606830990,89791372638,93203440120,97024779739,98092052256,1.03095E+11,1.06394E+11,1.10437E+11,1.1375E+11,1.2012E+11,1.28768E+11,1.34306E+11,1.4223E+11,1.44647E+11,1.49565E+11,1.53155E+11,1.55606E+11,1.61207E+11,1.65882E+11,1.71522E+11,1.76325E+11,1.83025E+11,1.89797E+11,1.95871E+11,1.98613E+11
20,1995789298,2046602106,2065619448,2044312753,2093032720,2150747972,2250752201,2454843073,2533270104,2637110900,2667853998,2789155139,2969641777,3331009166,3585760410,3850998488,4025693378,4027304101,3681358526,3545492338,3355495581,3199581034,3147900820,3158970256,3230921589,3258132524,3319682700,3376914768
24,31880327955,32196376550,30316661701,23045690173,23354355726,26857509085,30495189422,32713494082,34248131993,34995251476,36064224909,37196641571,42601313591,43875028106,48680699612,55997018565,62519526180,71278093250,79235899160,79916180134,83799478065,86708979448,94115788224,98778840095,1.03543E+11,1.0452E+11,1.01823E+11,99277301098
660,121344191.1,99301866.84,127805868.3,137296198.5,148288476.9,144847200.6,148478283.8,164347766.8,181290070,187974563.7,190367777.3,194962294.7,187541307.1,198137563.4,226129641,255827436.4,307709235.6,348749723.9,343681405.9,280419848.1,267930744.1,278880112.2,261156456.8,259435475.7,272579731.4,281157776.5,277401720.8,255919817.1
28,692325015.9,707396041.1,715590008.3,753373678.1,803670388.1,768634417.9,819401313.7,864231854.2,905121377.9,938682324.5,1001496498,951881606.6,961629833.2,1019884488,1078389759,1147540484,1293605271,1413385625,1412959730,1241885106,1152469069,1128507775,1168080145,1166866906,1221221065,1270384239,1341395404,1382074643
32,2.01873E+11,2.23061E+11,2.46047E+11,2.61429E+11,2.76686E+11,2.68814E+11,2.8367E+11,3.06679E+11,3.18487E+11,3.07704E+11,3.05277E+11,2.91818E+11,2.60026E+11,2.83004E+11,3.08558E+11,3.35871E+11,3.62899E+11,3.95587E+11,4.11637E+11,3.87274E+11,4.26487E+11,4.52094E+11,4.47453E+11,4.58216E+11,4.46703E+11,4.58903E+11,4.50539E+11,4.63442E+11
51,6664184539,5885890449,3428155397,3126106341,3292639647,3519541621,3727197530,3850978037,4133648144,4268207989,4519845546,4951794157,5697058177,6496970852,7177063247,8172217331,9250784992,10522694355,11253777135,9661370056,9875377779,10334658716,11075162994,11435963553,11852476801,12235968097,12256994677,13174948075
533,1543048919,1665919937,1763915227,1892816724,2048101569,2099442510,2125582373,2291684556,2444462499,2472683070,2584301517,2507638971,2425181267,2473731130,2669471849,2701838425,2730351836,2785837395,2789690558,2473731130,2390502793,2475272396,2441364555,2543858711,2565436428,2553876936,2548482507,2582390348
36,6.75276E+11,6.77421E+11,7.05435E+11,7.3392E+11,7.61315E+11,7.91349E+11,8.22737E+11,8.60391E+11,9.03566E+11,9.39196E+11,9.57351E+11,9.95674E+11,1.0254E+12,1.06643E+12,1.10045E+12,1.13164E+12,1.17439E+12,1.21734E+12,1.24075E+12,1.26622E+12,1.29726E+12,1.34775E+12,1.38332E+12,1.41871E+12,1.45207E+12,1.49312E+12,1.52235E+12,1.56722E+12
40,2.60195E+11,2.6915E+11,2.74784E+11,2.76232E+11,2.82867E+11,2.90414E+11,2.97238E+11,3.0346E+11,3.14329E+11,3.25507E+11,3.36495E+11,3.40759E+11,3.46387E+11,3.49648E+11,3.59212E+11,3.67273E+11,3.79958E+11,3.94121E+11,3.99877E+11,3.84823E+11,3.91893E+11,4.03347E+11,4.06092E+11,4.06195E+11,4.08881E+11,4.13555E+11,4.21989E+11,4.32754E+11
31,22683104175,22524322455,17433825491,13406550677,10771526149,9498736216,9617948962,10176377361,11190573866,12018266911,13351613633,14673729292,16058770324,17698097777,19335844583,24742048966,33270226722,41741896385,46162963166,50488203285,52905998879,52073788775,53220942588,56330863537,57906767570,58514525946,56721678253,56782335542
44,7378752948,7070367480,6799706395,6820613884,7035597416,7343528373,7653731884,8118314191,8744283290,9034764819,9409645615,9656696609,9917879364,9792444644,9878902104,10214314408,10471393779,10622874268,10376008424,9942769562,10095768962,10157648811,10471173963,10411833562,10282385323,9966594315,9983075719,10162771083
48,9564549822,10000299989,10779993415,12169028944,11911518521,12141899189,12538152641,12827774327,13454799035,14255798338,15256295181,15636334742,16159919955,17177422867,18376569511,19620468391,20889332838,22621892795,24033916636,24644500040,25713282713,26223287378,27200967372,28674400162,29921816519,30780904944,31843250856,33039389335
